Name,Price ($),Cores,Score,Thread Mark,TDP,Socket,Power Efficiency (Score/W),Price Efficiency (Score/$),Average Efficiency,URL,Power Efficiency (FPS/W)
AMD Ryzen Threadripper 7970X,"1,150.00",32,97534,4131,350,sTR5,278.6686,84.8122,181.7404,https://www.ebay.com/itm/Gigabyte-TRX50-AERO-D-Support-AMD-Ryzen-Threadripper-PRO-7000-7960x-7970x-CPU-/126429480639,278.6686
AMD Ryzen Threadripper 7960X,"1,150.00",24,83308,4091,350,sTR5,238.0229,72.4417,155.2323,https://www.ebay.com/itm/Gigabyte-TRX50-AERO-D-Support-AMD-Ryzen-Threadripper-PRO-7000-7960x-7970x-CPU-/126429480639,238.0229
AMD Ryzen Threadripper PRO 7965WX,"1,899.00",24,82097,3984,350,sTR5,234.5629,43.2317,138.8973,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-Pro-7965WX-24-Core-4-2GHz-sTR5-Processor-Unlocked-/335480390495,234.5629
AMD Ryzen Threadripper 3990X,"2,200.00",64,80892,2564,280,sTRX4,288.9,36.7691,162.8345,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-3990X-64-Core-Fan-/135120419909,288.9
Intel Core i9-13900F,"2,459.99",24,51190,4436,65,FCLGA1700,787.5385,20.809,404.1737,https://www.ebay.com/itm/Alienware-Aurora-R16-Gaming-Desktop-Intel-24-core-i9-13900F-RTX-4070-UP-64GB-/226257701748?var=525424677587,787.5385
AMD Ryzen Threadripper PRO 7975WX,"2,799.00",32,94834,4066,350,sTR5,270.9543,33.8814,152.4178,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-Pro-7975WX-32-Core-4-0GHz-sTR5-Processor-Unlocked-/276365970473,270.9543
AMD Ryzen Threadripper PRO 7945WX,"3,386.70",12,49599,4086,350,sTR5,141.7114,14.6452,78.1783,https://www.ebay.com/itm/HP-Z6-G5-Tower-Workstation-AMD-R-7945WX-16GB-RAM-512GB-SSD-W11P-9J2K0UT-ABA-/126333232967,141.7114
AMD Ryzen Threadripper 7980X,"3,499.00",64,134981,3988,350,sTR5,385.66,38.577,212.1185,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-7980X-64-Core-3-2GHz-sTR5-Processor-Unlocked-/335196002126,385.66
AMD Ryzen Threadripper PRO 7955WX,"3,993.76",16,59809,4089,350,sTR5,170.8829,14.9756,92.9292,https://www.ebay.com/itm/HP-Z6-G5-Tower-Workstation-AMD-R-7955WX-16GB-RAM-512GB-SSD-W11P-9J2K4UT-ABA-/126333244749,170.8829
AMD Ryzen Threadripper PRO 7985WX,"5,999.00",64,135597,3998,350,sTR5,387.42,22.6033,205.0117,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-Pro-7985WX-64-Core-3-2GHz-sTR5-Processor-Unlocked-/335436185739,387.42
AMD Ryzen Threadripper PRO 7995WX,"8,199.00",96,154671,3952,350,sTR5,441.9171,18.8646,230.3909,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-Pro-7995WX-96-Core-2-5GHz-sTR5-Processor-Unlocked-/226031026402,441.9171
AMD Ryzen 5 PRO 8600G,"123,456.00",6,25288,3872,65,AM5,389.0462,0.2048,194.6255,https://www.ebay.com/itm/AMD-Ryzen-5-PRO-8600G-processor-4-3-GHz-16-MB-L3-100-000001239-/176448661023,389.0462
AMD Ryzen 5 5600GT,"123,456.00",6,20057,3344,65,AM4,308.5692,0.1625,154.3659,https://www.ebay.com/itm/AMD-Ryzen-5-5600GT-processor-3-6-GHz-16-MB-L3-100-000001488-/176340573380,308.5692
Intel Core i3-14100F,"123,456.00",4,15378,3770,110,FCLGA1700,139.8,0.1246,69.9623,https://www.ebay.com/itm/Intel-Core-i3-14100F-processor-12-MB-Smart-Cache-CM8071505092207-/176364920870,139.8
AMD Ryzen 7 PRO 8700GE,10000000,8,30588,3988,35,AM5,873.9429,0.0031,436.973,,873.9429
Intel Core i5-14600T,10000000,14,29449,4153,35,FCLGA1700,841.4,0.0029,420.7014,https://www.ebay.com/itm/4-Pack-HIGH-POWER-Low-Profile-CPU-Fan-Intel-i7-i5-i3-i9-Socket-LGA-1700-Cooler-/285920018774?var=587977066321,841.4
AMD Ryzen 5 PRO 8600GE,10000000,6,25776,3908,35,AM5,736.4571,0.0026,368.2298,,736.4571
AMD Ryzen 5 PRO 8500GE,10000000,6,21426,3903,35,AM5,612.1714,0.0021,306.0867,,612.1714
[Dual CPU] Intel Core i5-12400F,10000000,6,19680,3630,65,FCLGA1700,302.7692,0.002,151.3856,,302.7692
AMD Ryzen 5 4400G,10000000,6,17160,2711,65,AM4,264,0.0017,132.0009,,264
AMD Ryzen 5 PRO 4655G,10000000,6,16355,2696,65,AM4,251.6154,0.0016,125.8085,,251.6154
AMD Ryzen 7 2700E,10000000,8,14657,2410,45,AM4,325.7111,0.0015,162.8563,,325.7111
AMD Ryzen 5 PRO 4655GE,10000000,6,14436,2662,35,AM4,412.4571,0.0014,206.2293,,412.4571
AMD Ryzen 3 PRO 8300G,10000000,4,14351,3838,65,AM5,220.7846,0.0014,110.393,,220.7846
AMD Ryzen 3 PRO 8300GE,10000000,4,14227,3772,35,AM5,406.4857,0.0014,203.2435,,406.4857
[5-Way CPU] AMD Ryzen 9 5950X,10000000,16,13220,2972,105,AM4,125.9048,0.0013,62.953,,125.9048
AMD Ryzen 3 PRO 4355GE,10000000,4,10559,2572,35,AM4,301.6857,0.0011,150.8434,,301.6857
AMD Ryzen 5 PRO 3350G,10000000,4,9288,2289,65,AM4,142.8923,0.0009,71.4466,,142.8923
Intel Core i9-9900B @ 3.10GHz,10000000,8,9060,2018,65,FCLGA1151,139.3846,0.0009,69.6928,,139.3846
AMD Ryzen 5 3350G,10000000,4,8989,2263,65,AM4,138.2923,0.0009,69.1466,,138.2923
AMD Athlon Gold PRO 3150G,10000000,4,7702,2321,65,AM4,118.4923,0.0008,59.2465,,118.4923
Intel Core i3-9320 @ 3.70GHz,10000000,4,7358,2711,62,FCLGA1151-2,118.6774,0.0007,59.3391,,118.6774
AMD Athlon Gold 3150G,10000000,4,7112,2265,65,AM4,109.4154,0.0007,54.7081,,109.4154
AMD Athlon Gold PRO 3150GE,10000000,4,7006,2165,35,AM4,200.1714,0.0007,100.0861,,200.1714
