Name,Price ($),Cores,Score,Thread Mark,TDP,Socket,Power Efficiency (Score/W),Price Efficiency (Score/$),Average Efficiency,URL,Power Efficiency (FPS/W),
Intel Core i7-14700T,899.94,20,38482,4060,35,FCLGA1700,1099.4857,42.7606,571.1232,https://www.ebay.com/itm/HP-Elite-Mini-800-G9-Intel-i7-14700T-32GB-RAM-512GB-Gen4-SSD-Win-11-Pro-1-YR-/126560422331,1099.4857,
AMD Ryzen 7 PRO 5845,"1,033.54",8,25961,3439,65,AM4,399.4,25.1185,212.2592,https://www.ebay.com/itm/Lenovo-ThinkStation-P358-30GL0052US-Workstation-AMD-Ryzen-7-PRO-5845-16-GB-/335463500715,399.4,
AMD Ryzen Threadripper 7970X,"1,150.00",32,97534,4131,350,sTR5,278.6686,84.8122,181.7404,https://www.ebay.com/itm/Gigabyte-TRX50-AERO-D-Support-AMD-Ryzen-Threadripper-PRO-7000-7960x-7970x-CPU-/126429480639,278.6686,
AMD Ryzen Threadripper 7960X,"1,150.00",24,83308,4091,350,sTR5,238.0229,72.4417,155.2323,https://www.ebay.com/itm/Gigabyte-TRX50-AERO-D-Support-AMD-Ryzen-Threadripper-PRO-7000-7960x-7970x-CPU-/126429480639,238.0229,
AMD Ryzen Threadripper PRO 7965WX,"1,899.00",24,82097,3984,350,sTR5,234.5629,43.2317,138.8973,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-Pro-7965WX-24-Core-4-2GHz-sTR5-Processor-Unlocked-/335480390495,234.5629,
AMD Ryzen Threadripper 3990X,"2,199.00",64,80892,2564,280,sTRX4,288.9,36.7858,162.8429,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-3990X-64-Core-2-9GHz-sTRX4-Processor-Unlocked-/275373895140,288.9,
Intel Core i9-13900F,"109,034.91",24,51190,4436,65,FCLGA1700,787.5385,0.4695,394.004,https://www.ebay.com/itm/Intel-Core-i9-13900F-2GHz-5-6-Turbo-24-Core-LGA1700-Desktop-Processor-RaptorLake-/334813894578,787.5385,
AMD Ryzen Threadripper PRO 7975WX,"2,799.00",32,94834,4066,350,sTR5,270.9543,33.8814,152.4178,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-Pro-7975WX-32-Core-4-0GHz-sTR5-Processor-Unlocked-/276365970473,270.9543,
AMD Ryzen Threadripper PRO 7945WX,"3,091.98",12,49599,4086,350,sTR5,141.7114,16.0412,78.8763,https://www.ebay.com/itm/NEW-HP-9J2J5UT-ABA-Z6G5A-RTP7945WX-16G-512GB-9J2J5UT-/156039425914,141.7114,
AMD Ryzen Threadripper 7980X,"3,999.00",64,134981,3988,350,sTR5,385.66,33.7537,209.7069,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-7980X-64-Core-3-2GHz-sTR5-Processor-Unlocked-/335196002126,385.66,
AMD Ryzen Threadripper PRO 7955WX,"3,993.76",16,59809,4089,350,sTR5,170.8829,14.9756,92.9292,https://www.ebay.com/itm/HP-Z6-G5-Tower-Workstation-AMD-R-7955WX-16GB-RAM-512GB-SSD-W11P-9J2K4UT-ABA-/126333244749,170.8829,
AMD Ryzen Threadripper PRO 7985WX,"5,999.00",64,135597,3998,350,sTR5,387.42,22.6033,205.0117,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-Pro-7985WX-64-Core-3-2GHz-sTR5-Processor-Unlocked-/335436185739,387.42,
AMD Ryzen Threadripper PRO 7995WX,"8,199.00",96,154671,3952,350,sTR5,441.9171,18.8646,230.3909,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-Pro-7995WX-96-Core-2-5GHz-sTR5-Processor-Unlocked-/226031026402,441.9171,
AMD Ryzen 5 PRO 8600G,"123,456.00",6,25288,3872,65,AM5,389.0462,0.2048,194.6255,https://www.ebay.com/itm/AMD-Ryzen-5-PRO-8600G-processor-4-3-GHz-16-MB-L3-100-000001239-/176448661023,389.0462,
AMD Ryzen 5 5600GT,"123,456.00",6,20057,3344,65,AM4,308.5692,0.1625,154.3659,https://www.ebay.com/itm/AMD-Ryzen-5-5600GT-processor-3-6-GHz-16-MB-L3-100-000001488-/176340573380,308.5692,
Intel Core i3-14100F,110,4,15378,3770,110,FCLGA1700,139.8,139.8,139.8,https://www.ebay.com/itm/Intel-Core-i3-14100F-Desktop-Processor-LGA-1700-CPU-Only-No-Cooler-/186567498044,139.8,
AMD Ryzen 7 PRO 8700GE,440,8,30588,3988,35,AM5,873.9429,69.5182,471.7305,https://www.ebay.com/itm/AMD-Ryzen-7-PRO-8700GE-AM5-4-1-GHz-8-Core-R7-PRO-8700GE-16MB-35W-CPU-Processor-/145885926460,873.9429,
Intel Core i5-14600T,10000000,14,29449,4153,35,FCLGA1700,841.4,0.0029,420.7014,https://www.ebay.com/itm/4-Pack-HIGH-POWER-Low-Profile-CPU-Fan-Intel-i7-i5-i3-i9-Socket-LGA-1700-Cooler-/285920018774?var=587977066321,841.4,
AMD Ryzen 5 PRO 8600GE,259,6,25776,3908,35,AM5,736.4571,99.5212,417.9891,https://www.ebay.com/itm/AMD-Ryzen-5-Pro-8600GE-AM5-3-9-GHz-6-Core-R5-Pro-8600GE-16MB-CPU-Processor-35W-/176497705203,736.4571,
AMD Ryzen 5 PRO 8500GE,10000000,6,21426,3903,35,AM5,612.1714,0.0021,306.0867,,612.1714,
Intel Core i5-12400F,99.99,6,19680,3630,65,FCLGA1700,302.7692,196.8197,249.7945,https://www.ebay.com/itm/New-Intel-12th-Gen-Core-i5-12400F-6-Cores-12-Thread-OEM-Tray-CPU-LGA1700-/266305360584,302.7692,
AMD Ryzen 5 4400G,10000000,6,17160,2711,65,AM4,264,0.0017,132.0009,,264,
AMD Ryzen 5 PRO 4655G,10000000,6,16355,2696,65,AM4,251.6154,0.0016,125.8085,,251.6154,
AMD Ryzen 7 2700E,10000000,8,14657,2410,45,AM4,325.7111,0.0015,162.8563,,325.7111,
AMD Ryzen 5 PRO 4655GE,10000000,6,14436,2662,35,AM4,412.4571,0.0014,206.2293,,412.4571,
AMD Ryzen 3 PRO 8300G,265.99,4,14351,3838,65,AM5,220.7846,53.9532,137.3689,https://www.ebay.com/itm/AMD-Ryzen-3-PRO-8300G-processor-3-4-GHz-8-MB-L3-100-000001187-/186527755109,220.7846,
AMD Ryzen 3 PRO 8300GE,10000000,4,14227,3772,35,AM5,406.4857,0.0014,203.2435,,406.4857,
AMD Ryzen 3 PRO 4355GE,10000000,4,10559,2572,35,AM4,301.6857,0.0011,150.8434,,301.6857,
AMD Ryzen 5 PRO 3350G,10000000,4,9288,2289,65,AM4,142.8923,0.0009,71.4466,,142.8923,
Intel Core i9-9900B,10000000,8,9060,2018,65,FCLGA1151,139.3846,0.0009,69.6928,,139.3846,
AMD Ryzen 5 3350G,10000000,4,8989,2263,65,AM4,138.2923,0.0009,69.1466,,138.2923,
AMD Athlon Gold PRO 3150G,10000000,4,7702,2321,65,AM4,118.4923,0.0008,59.2465,,118.4923,
Intel Core i3-9320,54,4,7358,2711,62,FCLGA1151-2,118.6774,136.2593,127.4684,https://www.ebay.com/itm/9Th-Gen-Intel-Core-i3-9320-SRF7X-QS-LGA1151-CPU-3-7GHz-Quad-Core-8MB-Desktop-/176460400390,118.6774,
AMD Athlon Gold 3150G,10000000,4,7112,2265,65,AM4,109.4154,0.0007,54.7081,,109.4154,
AMD Athlon Gold PRO 3150GE,10000000,4,7006,2165,35,AM4,200.1714,0.0007,100.0861,,200.1714,
